zip,income_household_median
60018,64429
60106,64700
60601,103112
60602,191528
60603,146250
60604,91750
60605,111438
60606,140558
60607,102726
60608,50133
60609,37353
60610,92130
60611,106906
60612,43545
60613,84318
60614,117138
60615,45077
60616,52162
60617,41125
60618,78704
60619,35629
60620,36767
60621,22158
60622,101161
60623,32460
60624,23429
60625,68770
60626,42747
60628,41169
60629,43506
60630,73212
60631,93989
60632,44924
60633,51538
60634,70083
60636,26724
60637,28965
60638,68089
60639,46107
60640,57221
60641,63545
60642,112241
60643,65631
60644,26900
60645,57572
60646,95593
60647,78413
60649,31921
60651,38955
60652,70702
60653,31093
60654,122492
60655,102813
60656,64440
60657,95173
60659,52239
60660,50966
60661,120000
60707,61718
60827,32329